User Name,Track Name,Post Time,Plays,Likes
Hieu Tran Music Producer,Tôi đưa em sang sông - Hà Anh Tuấn,Posted 2 years ago,791 plays,11
Hieu Tran Music Producer,Tình bơ vơ - Hà Anh Tuấn,Posted 2 years ago,"1,341 plays",12
Hieu Tran Music Producer,Rong Rêu - Hà Anh Tuấn,Posted 2 years ago,587 plays,8
Hieu Tran Music Producer,Liên khúc Trái tim ngục tù - Trái tim mùa đông - Hà Anh Tuấn,Posted 2 years ago,905 plays,8
Hieu Tran Music Producer,Lại gần hôn anh - Hà Anh Tuấn,Posted 2 years ago,"2,769 plays",23
Hieu Tran Music Producer,Kiếp đam mê - Hà Anh Tuấn,Posted 2 years ago,679 plays,5
Hieu Tran Music Producer,Comme Toi - Hà Anh Tuấn,Posted 2 years ago,517 plays,5
Hieu Tran Music Producer,Cỏ Úa - Hà Anh Tuấn & Phương Linh,Posted 2 years ago,"1,078 plays",23
Hieu Tran Music Producer,Bao giờ biết tương tư - Hà Anh Tuấn,Posted 2 years ago,592 plays,5
Hieu Tran Music Producer,What A Wonderful World - Phương Vy Idol - Chào 2019,Posted 2 years ago,300 plays,3
Hieu Tran Music Producer,Vui như Tết - Phương Vy Idol,Posted 2 years ago,"1,086 plays",7
Hieu Tran Music Producer,Giáng Sinh Kỷ Niệm - Phương Linh,Posted 2 years ago,162 plays,6
Hieu Tran Music Producer,Hai Ta - Phương Vy Idol & Sean Trace,Posted 3 years ago,268 plays,4
Hieu Tran Music Producer,Nếu mai chia tay ( Hieu Tran Chill RnB Version) - Monstar Ft. Amee,Posted 3 years ago,"6,262,465 plays",31.4K
Hieu Tran Music Producer,Đường xa ướt mưa - Phương Vy Idol & Sean Trace,Posted 3 years ago,"55,485 plays",261
Hieu Tran Music Producer,Khi người yêu tôi khóc - Phương Vy Idol & Family,Posted 3 years ago,355 plays,3
Hieu Tran Music Producer,Lỡ Yêu - Trang Thiên,Posted 3 years ago,"1,473,987 plays",11.5K
Hieu Tran Music Producer,No Boyfriend - Hoàng Yến Chibi,Posted 3 years ago,"874,788 plays","2,009"
Hieu Tran Music Producer,Anh Muốn Cưới Em Một Tỉ Lần - Anh Tuấn ( MTV Band),Posted 3 years ago,667 plays,9
Hieu Tran Music Producer,Giai Điệu Tự Hào - MTV Band Ft. Hieu Tran,Posted 3 years ago,"2,315 plays",19
Hieu Tran Music Producer,Xuân Yên Bình - Vũ Thảo My,Posted 4 years ago,450 plays,6
Hieu Tran Music Producer,Và Tôi Hát - MONSTAR,Posted 4 years ago,"39,755 plays",124
Hieu Tran Music Producer,Và Tôi Hát (Acoustic)- MONSTAR,Posted 4 years ago,"4,633 plays",32
Hieu Tran Music Producer,Câu chuyện làm quen - Quốc Thiên,Posted 4 years ago,"902,029 plays","3,203"
Hieu Tran Music Producer,Ngày Hôm Qua - Vũ Cát Tường,Posted 4 years ago,"64,695 plays",620
Hieu Tran Music Producer,"Gạt đi nước mắt - Noo Phước Thịnh, Tonny Viet ( Asia Song Festival 2016 - Hiếu Trần Remix)",Posted 5 years ago,"2,558,700 plays","3,835"
Hieu Tran Music Producer,Sắc màu - Lê Hoàng Phong (X-Factor 2016),Posted 5 years ago,"3,633 plays",28
Hieu Tran Music Producer,Mơ - Lê Hoàng Phong ( X-Factor 2016),Posted 5 years ago,"3,443 plays",36
Hieu Tran Music Producer,Em và tôi - Lê Hoàng Phong (X-Factor 2016),Posted 5 years ago,"10,124 plays",77
Hieu Tran Music Producer,Mình yêu từ bao giờ ( Hieu Tran The Remix Season 2) - Ngô Kiến Huy,Posted 5 years ago,"3,256 plays",16
Hieu Tran Music Producer,Medley Chỉ là giấc mơ - Góc tối ( Hieu Tran The Remix Season 2)- Ngô Kiến Huy,Posted 5 years ago,"1,901 plays",6
Hieu Tran Music Producer,Tình Yêu Mùa Xuân - Phương Linh,Posted 5 years ago,"2,209 plays",25
Hieu Tran Music Producer,Opening M-TP AMBITION Hanoi & Con Mua Ngang Qua ( Hieu Tran Remix),Posted 5 years ago,"2,631 plays",21
Hieu Tran Music Producer,Như Ngày Hôm Qua - Sơn Tùng MTP,Posted 5 years ago,"4,113,220 plays",14.1K
Hieu Tran Music Producer,Giáng Sinh Kỷ Niệm - Phương Linh - Teaser,Posted 5 years ago,"2,464 plays",9
Hieu Tran Music Producer,Skyfall - Adele Cover - Hieu Tran Remix,Posted 6 years ago,659 plays,7
Hieu Tran Music Producer,Kẻ tội đồ - Wowy,Posted 6 years ago,"76,042 plays",160
Hieu Tran Music Producer,Là Mẹ của con - Hoàng Yến Chibi,Posted 6 years ago,"6,000 plays",45
Hieu Tran Music Producer,Như Phút Ban Đầu - Tiến Việt Ft. Yến Lê,Posted 6 years ago,"25,411 plays",202
Hieu Tran Music Producer,Feel It - Phương Vy Ft. Wowy,Posted 6 years ago,500 plays,10
Hieu Tran Music Producer,Điều vô lý thứ nhất - Nguyên Hà,Posted 6 years ago,"480,334 plays","4,539"
Hieu Tran Music Producer,Thằng Cuội - Tiểu Đình Acapella Onetake,Posted 6 years ago,"1,100 plays",12
Hieu Tran Music Producer,Part Of My World - Phương Vy ( Bossa Nova Version),Posted 6 years ago,"1,343 plays",13
Hieu Tran Music Producer,Điều không thể nói - Phương Vy,Posted 6 years ago,329 plays,2
Hieu Tran Music Producer,Tình nghĩa đôi ta chỉ thế thôi - Thiên Minh,Posted 6 years ago,"9,553 plays",79
Hieu Tran Music Producer,Nơi tình yêu bắt đầu - Bùi Anh Tuấn - Hiếu Trần Mastering Version,Posted 6 years ago,"1,677 plays",14
Hieu Tran Music Producer,Medley Chỉ có em - Người tình người đẹp xinh xinh - Thiên Minh,Posted 6 years ago,"1,644 plays",17
Hieu Tran Music Producer,Royal - Lorde - Hiếu Trần Reggae Remix,Posted 6 years ago,657 plays,8
Hieu Tran Music Producer,"Đắn Đo - Hồ Ngọc Hà - "" Hiếu Trần Mastering "" Version",Posted 6 years ago,648 plays,6
Hieu Tran Music Producer,24 giờ 7 ngày - Tiến Việt,Posted 6 years ago,500 plays,13
Hieu Tran Music Producer,Swing it up - Phương Vy,Posted 6 years ago,547 plays,9
Hieu Tran Music Producer,Môi tím - Phương Vy,Posted 6 years ago,875 plays,11
Hieu Tran Music Producer,Nối vòng tay lớn EDM - Hiếu Trần Ft. Hà Anh Tuấn,Posted 6 years ago,"2,331 plays",27
Hieu Tran Music Producer,All About That Bass - Meghan Trainor - Tieu Dinh Cover,Posted 6 years ago,679 plays,9
Hieu Tran Music Producer,Call Me - Blondie - Tiểu Đình cover - One Take,Posted 6 years ago,642 plays,6
Hieu Tran Music Producer,Joe Le Taxi - Hieu Tran Ft. CindyV,Posted 7 years ago,532 plays,6
Hieu Tran Music Producer,Tattoo song,Posted 9 years ago,"5,851 plays",6
Hieu Tran Music Producer,Bad Romance - Hiếu Trần,Posted 10 years ago,377 plays,4
L2Share♫140,"GIRIBOY (기리보이) - 내일은 없다 (Feat. lIlBOI, nafla) (No Tomorrow)",Posted 18 days ago,"51,000 plays","1,297"
L2Share♫140,GIRIBOY (기리보이) - 우린 결국 그렇게 (Feat. Seori) (That's How We Ended Up),Posted 18 days ago,"34,651 plays","1,032"
L2Share♫140,GIRIBOY (기리보이) - 엉망진창 (What A Mess),Posted 18 days ago,"63,490 plays","2,005"
L2Share♫140,GIRIBOY (기리보이) - 그리고 돌아섰다 (You Turned Around),Posted 18 days ago,"24,808 plays",866
L2Share♫140,NCT 127 - Sticker,Posted 1 month ago,"298,752 plays","8,265"
L2Share♫140,NCT 127 - Lemonade,Posted 1 month ago,"224,621 plays","6,576"
L2Share♫140,MAMAMOO (마마무) - 하늘 땅 바다만큼 (mumumumuch),Posted 1 month ago,"59,795 plays","1,396"
L2Share♫140,MAMAMOO (마마무) - Happier than Ever (분명 우린 그땐 좋았었어),Posted 1 month ago,"19,817 plays",402
L2Share♫140,Han Yo Han (한요한) - 이게 나야 (Feat. CHANGMO (창모)) (This Is Me),Posted 1 month ago,"103,855 plays","1,861"
L2Share♫140,Lee Mujin (이무진) - 가을 타나 봐 (Fall in Fall),Posted 1 month ago,"207,286 plays","4,619"
L2Share♫140,PURPLE KISS (퍼플키스) - Zombie,Posted 1 month ago,"128,939 plays","2,288"
L2Share♫140,I.M (아이엠) - Loop,Posted 1 month ago,"20,763 plays",641
L2Share♫140,"LOONA (이달의 소녀) - Not Friends (Sung by 희진, 김립, 진솔, 이브 (HeeJin, Kim Lip, JinSoul, Yves) (Prod. 라이언전)",Posted 1 month ago,"58,621 plays","1,249"
L2Share♫140,KEY (키) - Hate that... (Feat. 태연 (TAEYEON)),Posted 2 months ago,"217,935 plays","4,167"
L2Share♫140,LeeHi (이하이) - ONLY,Posted 2 months ago,"2,830,482 plays",51.6K
L2Share♫140,JAY B - B.T.W (Feat. 박재범) (Prod. Cha Cha Malone),Posted 2 months ago,"58,275 plays","1,621"
L2Share♫140,Loco (로꼬) - 이대로만 (Feat. 죠지 (George) (Just Like This),Posted 2 months ago,"117,875 plays","2,632"
L2Share♫140,KWON EUN BI (권은비) - Door,Posted 2 months ago,"166,739 plays","2,182"
L2Share♫140,Brave Girls (브레이브걸스) - After We Ride (술버릇 (운전만해 그후)),Posted 2 months ago,"107,567 plays","1,157"
L2Share♫140,VERIVERY - TRIGGER,Posted 2 months ago,"18,457 plays",436
L2Share♫140,Piano Man (피아노맨) - 네 노래 (Your Song),Posted 2 months ago,"90,264 plays","1,339"
L2Share♫140,HA SUNG WOON 하성운X펀치 (Punch) - 자니 (Johnny) (Cyworld BGM 2021),Posted 2 months ago,"54,852 plays",725
L2Share♫140,CIX (씨아이엑스) - WAVE,Posted 2 months ago,"31,133 plays",738
L2Share♫140,TXT - LO$ER=LO♡ER,Posted 2 months ago,"889,714 plays",24.1K
L2Share♫140,TXT - MOA Diary (Dubaddu Wari Wari) (교환일기 (두밧두 와리와리)),Posted 2 months ago,"181,228 plays","4,098"
L2Share♫140,TXT - 0X1=LOVESONG (I Know I Love You) feat. Seori (Emocore Mix),Posted 2 months ago,"61,693 plays","1,899"
L2Share♫140,Red Velvet (레드벨벳) - Pose,Posted 2 months ago,"135,315 plays","3,093"
L2Share♫140,Red Velvet (레드벨벳) - Knock On Wood,Posted 2 months ago,"37,568 plays",938
L2Share♫140,Red Velvet (레드벨벳) - Better Be,Posted 2 months ago,"31,118 plays",763
L2Share♫140,Red Velvet (레드벨벳) - Pushin' N Pullin',Posted 2 months ago,"34,383 plays",865
L2Share♫140,"Red Velvet (레드벨벳) - 다시, 여름 (Hello, Sunset)",Posted 2 months ago,"40,166 plays","1,026"
L2Share♫140,Lee Young Ji (이영지) - HATE ME (Feat. 유라 (youra)) (Prod. WOOGIE (우기)),Posted 2 months ago,"53,975 plays","1,113"
L2Share♫140,Standing Egg (스탠딩 에그) - 무슨 생각해 (What Are You Thinking About),Posted 2 months ago,"57,957 plays",841
L2Share♫140,ONF - Summer Poem (여름 시) / Summer Shape (여름의 모양) / Dry Ice (여름의 온도) / Summer End (여름의 끝),Posted 2 months ago,"36,566 plays",519
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,mashup // cho mình em - daydreams - treasure // binz ft soobin ft rhymastic,Posted 23 hours ago,87 plays,9
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,an thần // lofi slowed - low G ft thắng ( ngọt ),Posted 4 days ago,"6,737 plays",127
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,biết em // slowed - lynk nguyen,Posted 5 days ago,"3,409 plays",57
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,không phải tại nó // lạc - mai ngô ft rhymastic,Posted 13 days ago,"423,044 plays","5,628"
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,tell ur mom II // slowed - winno,Posted 14 days ago,"15,123 plays",307
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,gác lại âu lo // slowed - da lab ft miu le,Posted 22 days ago,768 plays,22
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,ngày mai em đi // slowed - soobin hoàng sơn,Posted 24 days ago,289 plays,5
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,chúng ta của hiện tại x giọt nước mắt muộn màng // mashup,Posted 27 days ago,"3,119 plays",55
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,love 08 // slowed - duongG,Posted 27 days ago,"2,792 plays",31
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,𝗯𝗮𝗯𝘆 𝗶 𝘁𝗼𝗹𝗱 𝘆𝗼𝘂 // 𝘀𝗹𝗼𝘄𝗲𝗱 - 𝗺𝗼𝗻𝘀𝘁𝗮𝗿,Posted 28 days ago,"6,678 plays",126
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,từ thích thích thành thương thương // slowed - amee ft Hoàng Dũng,Posted 1 month ago,"1,010 plays",15
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,một giấc mơ // slowed - Vũ,Posted 1 month ago,"1,687 plays",40
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,thanh xuân // slowed - Dalab,Posted 1 month ago,"63,283 plays",912
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,anh sẽ luôn thật gần // slowed,Posted 1 month ago,"2,947 plays",45
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,hãy ra khỏi người đó đi // slowed - Phan Mạnh Quỳnh,Posted 1 month ago,"64,400 plays",714
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,𝘮𝘴 𝘮𝘢𝘺 // 𝘴𝘭𝘰𝘸𝘦𝘥 - 𝘊𝘩𝘪𝘭𝘭𝘪𝘦𝘴,Posted 2 months ago,469 plays,9
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,em đừng khóc // slowed - Chillies,Posted 2 months ago,"2,342 plays",46
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,𝒕𝒊𝒏𝒉 𝒚𝒆𝒖 𝒍𝒂 𝒄𝒂𝒊 𝒈𝒊 ?,Posted 2 months ago,"1,687 plays",42
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,do for love // slowed - bray,Posted 2 months ago,"48,160 plays",537
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,đông kiếm em // slowed - vũ,Posted 2 months ago,"4,485 plays",61
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,mot nguoi vi em (midnight) // slowed - WEAN,Posted 2 months ago,"199,142 plays","2,135"
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,"em ơi, anh ở đây !! it's for u",Posted 2 months ago,"2,568 plays",72
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,"𝙀𝙢𝙢𝙚 // 𝙚𝙢,𝙩𝙤𝙞 // 𝙨𝙡𝙤𝙬𝙚𝙙 -  𝙙𝙖𝙩 𝙂",Posted 3 months ago,"3,071 plays",48
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,vườn mây // slowed - Madihu,Posted 3 months ago,"1,135 plays",22
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,bài ca mlem // slowed // o buồn ft jay bach,Posted 3 months ago,"2,472 plays",25
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,bốc bát họ // ver beat đen đá không đường // bình gold 💵,Posted 3 months ago,"3,221 plays",53
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,thức giấc // slowed - Dalab,Posted 3 months ago,"19,991 plays",248
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,một người vì em // slowed // Wean feat. ShiGGa Shay,Posted 3 months ago,"7,345 plays",92
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,nắm đôi bàn tay // slowed - kay trần,Posted 4 months ago,"2,318 plays",35
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,bỏ em vào balo // slowed lofi,Posted 4 months ago,"2,438 plays",24
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,thích em hơi nhiều // slowed lofi - Wren Evans,Posted 4 months ago,"2,883 plays",36
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,em muốn lái chị [ver beat] đen đá không đường // bình gold 💵,Posted 4 months ago,"13,193 plays",138
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,renai circulation x 2 phút hơn,Posted 4 months ago,377 plays,7
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,tôi sẽ là ai ? - Vinh Khuất,Posted 5 months ago,743 plays,8
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,Type Beat Lo-fi - 𝙷𝚊𝚢 𝚝𝚛𝚊𝚘 𝚌𝚑𝚘 𝚊𝚗𝚑,Posted 6 months ago,65 plays,3
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,Muộn Rồi Mà Sao Còn [ FULL audio ] - Sơn Tùng M-TP,Posted 6 months ago,"2,974 plays",16
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,bà con ai đang gặp vấn đề về sương khớp Lofi,Posted 6 months ago,203 plays,2
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,tình EM là đại dương - SƠN TÙNG M-TP [ Lofi Version ],Posted 7 months ago,"2,166 plays",27
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,chúng ta của hiện tại [ Piano cover ] - Sơn Tùng M-TP,Posted 10 months ago,"1,610 plays",14
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,sorry i like you but it's mix cực chill,Posted 10 months ago,363 plays,10
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,gói tình em rồi về Lofi - Phùng Khánh Linh,Posted 10 months ago,"14,359 plays",206
𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶,Vũ cover At My Worts - Pink Sweat,Posted 10 months ago,"1,366 plays",14
Nan Kohsoom Ho,อุ๋งๆ - PORZAX,Posted 2 days ago,3 plays,5
Nan Kohsoom Ho,ให้ฉันดูแลเธอ  - แหนม รณเดช (cover),Posted 7 days ago,7 plays,1
Nan Kohsoom Ho,Biết em - Lynk Nguyễn,Posted 12 days ago,"268,622 plays","5,467"
Nan Kohsoom Ho,ดีแล้วเธอ - ANOTHERBOYTJ,Posted 14 days ago,983 plays,5
Nan Kohsoom Ho,ลืมไปหรือเปล่า - Cover by Quang Hùng MasterD,Posted 21 days ago,161 plays,1
Nan Kohsoom Ho,ลืมไปหรือเปล่า - ZaadOat studio (cover),Posted 21 days ago,223 plays,2
Nan Kohsoom Ho,JayiJi - รัูไหม (Do u know),Posted 1 month ago,72 plays,2
Nan Kohsoom Ho,แล้วหลาวไอโบ - WONDERFRAME x YINWAR,Posted 2 months ago,299 plays,10
Nan Kohsoom Ho,รู้ (know) - bonnadol x YIN ANW,Posted 2 months ago,72 plays,2
Lkang,một cú lừa cover (remix sập nguồn) - StormP,Posted 9 months ago,"5,539 plays",25
Lkang,[DCOD] NGTANOISE (Người ta nói - remake) | VSOUL x MFREE x TUYEN VO|,Posted 2 years ago,"4,993,095 plays",43.8K
yafu,"GPS - NIDEBIG ft BINQANG , PURR ( PROD : HS YAFU )",Posted 2 months ago,"2,391,654 plays",44K
yafu,01 Playboi Carti Mix,Posted 9 months ago,"7,643 plays",180
yafu,So' 1,Posted 9 months ago,"1,343 plays",19
yafu,Burberry,Posted 11 months ago,697 plays,11
yafu,rEddd,Posted 1 year ago,496 plays,13
yafu,I Luv U,Posted 1 year ago,589 plays,12
yafu,Hi.,Posted 1 year ago,"2,786 plays",68
Đặng Gia Linh,3107-3 ( Cover by Mickey & Thuy An ),Posted 2 months ago,"25,936 plays",100
Đặng Gia Linh,Tình Đơn Phương Nguyên Ft. KOO,Posted 3 months ago,"824,019 plays","7,042"
Đặng Gia Linh,Chiều nay không có mưa bay - Cover,Posted 3 months ago,"5,296 plays",68
Đặng Gia Linh,3107 cover (demo ),Posted 4 months ago,"3,802 plays",66
Đặng Gia Linh,Obito Ft. Hnhngan Live YOUR SMILE - Emma X Seachains X Obito,Posted 6 months ago,"5,895,701 plays",52.8K
Đặng Gia Linh,Thói Quen- Hoàng Dũng,Posted 10 months ago,"36,840 plays",349
Đặng Gia Linh,CHÚNG TA CỦA HIỆN TẠI l SƠN TÙNG MT-P ( nguyên. cover ),Posted 10 months ago,"83,311 plays",482
Đặng Gia Linh,Nàng Thơ - Hoàng Dũng ( Nguyên. Cover ),Posted 1 year ago,"4,241 plays",45
Đặng Gia Linh,Chiếc Khăn Gió Ấm - Nguyễn Hải Vân (Cover),Posted 1 year ago,"2,038 plays",31
Đặng Gia Linh,Đừng Vì Anh Mà Khóc - Quang Hùng MasterD ( Nguyên. Cover ),Posted 1 year ago,"593,071 plays","3,116"
Đặng Gia Linh,MAI cover- Đã Lỡ Yêu Em Nhiều,Posted 1 year ago,"627,786 plays","3,758"
Đặng Gia Linh,Chờ Anh Nhé- Hoàng Dũng,Posted 1 year ago,"655,956 plays","6,917"
VUX,HẠNH PHÚC BỎ RƠI EM (lofi ver. by VUX) - HƯƠNG LY | NGÔ QUYỀN LINH COVER,Posted 1 month ago,"147,065 plays","1,411"
VUX,NGƯỜI LẠ THOÁNG QUA (VUX REMIX) - ĐINH TÙNG HUY,Posted 2 months ago,"313,572 plays","3,401"
VUX,EM HÁT AI NGHE (VUX REMIX) - ORANGE,Posted 2 months ago,"254,848 plays","2,345"
VUX,3107-3 (lofi ver. by VUX) - W/n x Nâu x Duongg x Titie,Posted 3 months ago,"4,477,162 plays",48.5K
VUX,SAI CÁCH YÊU (VUX REMIX) - LÊ BẢO BÌNH //demo,Posted 3 months ago,"308,152 plays","3,052"
VUX,SÀI GÒN HÔM NAY MƯA (lofi ver. by VUX) - JSOL & HOÀNG DUYÊN,Posted 5 months ago,"4,217,013 plays",40.4K
VUX,ANH CÓ MUỐN ĐƯA EM VỀ KHÔNG (VUX REMIX) - NGÔ LAN HƯƠNG,Posted 5 months ago,"29,888 plays",209
VUX,PHẢI CHĂNG EM ĐÃ YÊU (VUX REMIX) - JUKY SAN ft. REDT,Posted 8 months ago,"99,533 plays",806
VUX,TÌNH BẠN DIỆU KỲ (VUX REMIX) - Ricky Star x Lăng LD x Amee,Posted 8 months ago,"78,042 plays",599
